N,e^delta,LemmaBound_NoMollifier,LemmaBound_Mollifier2,LemmaBound_Mollifier3,LemmaBound_Mollifier5,TriangleBound_NoMollifier,TriangleBound_Mollifier2,TriangleBound_Mollifier3,TriangleBound_Mollifier5
1202,1.000000034607,0.04338,0.45922,0.59713,0.64289,-0.06845,0.39974,0.55527,0.60701
1203,1.000000034550,0.04371,0.45943,0.59733,0.64308,-0.06805,0.39999,0.55550,0.60722
1204,1.000000034492,0.04404,0.45969,0.59756,0.64329,-0.06764,0.40030,0.55577,0.60748
1205,1.000000034435,0.04436,0.45989,0.59772,0.64346,-0.06724,0.40055,0.55597,0.60767
1206,1.000000034378,0.04469,0.46016,0.59797,0.64370,-0.06683,0.40086,0.55626,0.60795
1207,1.000000034321,0.04502,0.46036,0.59813,0.64384,-0.06643,0.40111,0.55645,0.60812
1208,1.000000034264,0.04534,0.46063,0.59836,0.64406,-0.06603,0.40143,0.55672,0.60837
1209,1.000000034207,0.04567,0.46083,0.59856,0.64424,-0.06563,0.40167,0.55695,0.60859
1210,1.000000034151,0.04599,0.46109,0.59878,0.64446,-0.06523,0.40199,0.55722,0.60885
1211,1.000000034095,0.04631,0.46130,0.59894,0.64460,-0.06483,0.40223,0.55741,0.60902
1212,1.000000034038,0.04664,0.46156,0.59919,0.64484,-0.06442,0.40255,0.55770,0.60929
1213,1.000000033982,0.04696,0.46176,0.59935,0.64499,-0.06402,0.40279,0.55789,0.60947
1214,1.000000033926,0.04728,0.46202,0.59957,0.64520,-0.06363,0.40310,0.55815,0.60971
1215,1.000000033870,0.04761,0.46222,0.59977,0.64539,-0.06323,0.40335,0.55838,0.60994
1216,1.000000033815,0.04793,0.46248,0.59999,0.64560,-0.06283,0.40366,0.55865,0.61019
1217,1.000000033759,0.04825,0.46269,0.60015,0.64575,-0.06243,0.40390,0.55884,0.61036
1218,1.000000033704,0.04857,0.46295,0.60040,0.64598,-0.06203,0.40421,0.55913,0.61063
1219,1.000000033649,0.04889,0.46315,0.60056,0.64613,-0.06164,0.40446,0.55932,0.61081
1220,1.000000033593,0.04921,0.46341,0.60078,0.64634,-0.06124,0.40477,0.55958,0.61106
1221,1.000000033538,0.04953,0.46361,0.60097,0.64652,-0.06084,0.40501,0.55981,0.61127
1222,1.000000033484,0.04985,0.46387,0.60120,0.64673,-0.06045,0.40532,0.56007,0.61151
1223,1.000000033429,0.05017,0.46407,0.60136,0.64688,-0.06005,0.40556,0.56026,0.61168
1224,1.000000033374,0.05049,0.46432,0.60160,0.64711,-0.05966,0.40587,0.56054,0.61196
1225,1.000000033320,0.05081,0.46452,0.60176,0.64727,-0.05926,0.40611,0.56073,0.61215
1226,1.000000033265,0.05113,0.46478,0.60198,0.64748,-0.05887,0.40642,0.56099,0.61239
1227,1.000000033211,0.05145,0.46498,0.60217,0.64766,-0.05848,0.40666,0.56122,0.61260
1228,1.000000033157,0.05177,0.46524,0.60239,0.64787,-0.05809,0.40697,0.56148,0.61284
1229,1.000000033103,0.05208,0.46544,0.60255,0.64801,-0.05769,0.40721,0.56167,0.61301
1230,1.000000033049,0.05240,0.46569,0.60279,0.64824,-0.05730,0.40751,0.56195,0.61329
1231,1.000000032996,0.05272,0.46589,0.60295,0.64839,-0.05691,0.40775,0.56214,0.61345
1232,1.000000032942,0.05303,0.46615,0.60317,0.64859,-0.05652,0.40806,0.56240,0.61370
1233,1.000000032889,0.05335,0.46634,0.60336,0.64877,-0.05613,0.40830,0.56262,0.61390
1234,1.000000032835,0.05366,0.46660,0.60358,0.64898,-0.05574,0.40860,0.56288,0.61414
1235,1.000000032782,0.05398,0.46680,0.60373,0.64914,-0.05535,0.40884,0.56307,0.61434
1236,1.000000032729,0.05429,0.46705,0.60397,0.64937,-0.05496,0.40914,0.56334,0.61460
1237,1.000000032676,0.05461,0.46725,0.60413,0.64951,-0.05457,0.40938,0.56353,0.61477
1238,1.000000032624,0.05492,0.46750,0.60434,0.64971,-0.05419,0.40968,0.56379,0.61501
1239,1.000000032571,0.05524,0.46770,0.60453,0.64989,-0.05380,0.40992,0.56401,0.61521
1240,1.000000032518,0.05555,0.46795,0.60475,0.65010,-0.05341,0.41022,0.56427,0.61546
1241,1.000000032466,0.05586,0.46815,0.60491,0.65024,-0.05303,0.41046,0.56445,0.61563
1242,1.000000032414,0.05617,0.46840,0.60514,0.65047,-0.05264,0.41076,0.56473,0.61589
1243,1.000000032362,0.05649,0.46860,0.60530,0.65061,-0.05225,0.41100,0.56491,0.61606
1244,1.000000032310,0.05680,0.46885,0.60552,0.65081,-0.05187,0.41130,0.56517,0.61630
1245,1.000000032258,0.05711,0.46904,0.60570,0.65100,-0.05148,0.41153,0.56539,0.61652
1246,1.000000032206,0.05742,0.46929,0.60592,0.65120,-0.05110,0.41183,0.56564,0.61675
1247,1.000000032154,0.05773,0.46949,0.60607,0.65134,-0.05072,0.41207,0.56583,0.61692
1248,1.000000032103,0.05804,0.46974,0.60631,0.65157,-0.05033,0.41237,0.56610,0.61718
1249,1.000000032052,0.05835,0.46993,0.60646,0.65171,-0.04995,0.41260,0.56629,0.61734
1250,1.000000032000,0.05866,0.47018,0.60668,0.65192,-0.04957,0.41290,0.56654,0.61759
1251,1.000000031949,0.05897,0.47038,0.60686,0.65209,-0.04919,0.41313,0.56676,0.61779
1252,1.000000031898,0.05928,0.47063,0.60708,0.65229,-0.04881,0.41343,0.56701,0.61803
1253,1.000000031847,0.05959,0.47082,0.60723,0.65243,-0.04843,0.41367,0.56719,0.61819
1254,1.000000031796,0.05990,0.47107,0.60746,0.65265,-0.04805,0.41396,0.56747,0.61845
1255,1.000000031746,0.06020,0.47126,0.60762,0.65281,-0.04767,0.41419,0.56765,0.61864
1256,1.000000031695,0.06051,0.47151,0.60783,0.65301,-0.04729,0.41449,0.56790,0.61887
1257,1.000000031645,0.06082,0.47170,0.60802,0.65318,-0.04691,0.41472,0.56812,0.61907
1258,1.000000031595,0.06113,0.47195,0.60823,0.65338,-0.04653,0.41502,0.56837,0.61930
1259,1.000000031544,0.06143,0.47214,0.60838,0.65352,-0.04615,0.41525,0.56855,0.61947
1260,1.000000031494,0.06174,0.47239,0.60861,0.65374,-0.04577,0.41554,0.56882,0.61973
1261,1.000000031444,0.06205,0.47258,0.60876,0.65388,-0.04540,0.41577,0.56900,0.61989
1262,1.000000031395,0.06235,0.47283,0.60898,0.65408,-0.04502,0.41607,0.56925,0.62012
1263,1.000000031345,0.06266,0.47302,0.60916,0.65425,-0.04464,0.41630,0.56946,0.62032
1264,1.000000031295,0.06296,0.47326,0.60937,0.65445,-0.04427,0.41659,0.56971,0.62055
1265,1.000000031246,0.06326,0.47345,0.60952,0.65461,-0.04389,0.41682,0.56989,0.62074
1266,1.000000031196,0.06357,0.47370,0.60975,0.65483,-0.04352,0.41711,0.57016,0.62099
1267,1.000000031147,0.06387,0.47389,0.60990,0.65496,-0.04314,0.41734,0.57034,0.62115
1268,1.000000031098,0.06418,0.47413,0.61011,0.65516,-0.04277,0.41763,0.57059,0.62138
1269,1.000000031049,0.06448,0.47432,0.61030,0.65533,-0.04240,0.41786,0.57080,0.62158
1270,1.000000031000,0.06478,0.47457,0.61050,0.65553,-0.04202,0.41815,0.57105,0.62182
1271,1.000000030952,0.06508,0.47476,0.61066,0.65567,-0.04165,0.41838,0.57123,0.62198
1272,1.000000030903,0.06539,0.47500,0.61088,0.65589,-0.04128,0.41867,0.57149,0.62223
1273,1.000000030854,0.06569,0.47519,0.61103,0.65602,-0.04091,0.41890,0.57167,0.62239
1274,1.000000030806,0.06599,0.47543,0.61124,0.65622,-0.04053,0.41919,0.57192,0.62262
1275,1.000000030758,0.06629,0.47562,0.61142,0.65640,-0.04016,0.41942,0.57213,0.62283
1276,1.000000030709,0.06659,0.47586,0.61163,0.65659,-0.03979,0.41970,0.57237,0.62306
1277,1.000000030661,0.06689,0.47605,0.61178,0.65673,-0.03942,0.41993,0.57255,0.62322
1278,1.000000030613,0.06719,0.47629,0.61200,0.65695,-0.03905,0.42022,0.57281,0.62347
1279,1.000000030566,0.06749,0.47648,0.61215,0.65708,-0.03868,0.42045,0.57299,0.62363
1280,1.000000030518,0.06779,0.47672,0.61236,0.65728,-0.03832,0.42073,0.57323,0.62386
1281,1.000000030470,0.06809,0.47691,0.61254,0.65745,-0.03795,0.42096,0.57345,0.62406
1282,1.000000030423,0.06839,0.47715,0.61275,0.65764,-0.03758,0.42124,0.57369,0.62429
1283,1.000000030375,0.06869,0.47734,0.61290,0.65778,-0.03721,0.42147,0.57387,0.62444
1284,1.000000030328,0.06898,0.47758,0.61312,0.65799,-0.03685,0.42175,0.57413,0.62469
1285,1.000000030281,0.06928,0.47776,0.61327,0.65814,-0.03648,0.42198,0.57430,0.62487
1286,1.000000030234,0.06958,0.47800,0.61347,0.65834,-0.03611,0.42226,0.57454,0.62510
1287,1.000000030187,0.06988,0.47819,0.61365,0.65850,-0.03575,0.42249,0.57475,0.62529
1288,1.000000030140,0.07017,0.47843,0.61386,0.65869,-0.03538,0.42277,0.57499,0.62551
1289,1.000000030093,0.07047,0.47861,0.61400,0.65883,-0.03502,0.42300,0.57517,0.62567
1290,1.000000030046,0.07077,0.47885,0.61423,0.65904,-0.03465,0.42328,0.57543,0.62592
1291,1.000000030000,0.07106,0.47904,0.61437,0.65918,-0.03429,0.42350,0.57560,0.62608
1292,1.000000029954,0.07136,0.47927,0.61458,0.65937,-0.03393,0.42378,0.57584,0.62630
1293,1.000000029907,0.07165,0.47946,0.61476,0.65953,-0.03356,0.42401,0.57605,0.62650
1294,1.000000029861,0.07195,0.47969,0.61496,0.65972,-0.03320,0.42429,0.57629,0.62672
1295,1.000000029815,0.07224,0.47988,0.61511,0.65988,-0.03284,0.42451,0.57646,0.62690
1296,1.000000029769,0.07253,0.48012,0.61532,0.66009,-0.03248,0.42479,0.57672,0.62714
1297,1.000000029723,0.07283,0.48030,0.61547,0.66022,-0.03211,0.42502,0.57690,0.62730
1298,1.000000029677,0.07312,0.48054,0.61567,0.66041,-0.03175,0.42529,0.57713,0.62752
1299,1.000000029632,0.07341,0.48072,0.61585,0.66057,-0.03139,0.42552,0.57734,0.62771
1300,1.000000029586,0.07371,0.48095,0.61605,0.66077,-0.03103,0.42579,0.57757,0.62794
1301,1.000000029541,0.07400,0.48114,0.61620,0.66090,-0.03067,0.42602,0.57775,0.62809
1302,1.000000029495,0.07429,0.48137,0.61642,0.66111,-0.03031,0.42629,0.57800,0.62833
1303,1.000000029450,0.07458,0.48156,0.61656,0.66124,-0.02996,0.42652,0.57818,0.62849
1304,1.000000029405,0.07488,0.48179,0.61676,0.66143,-0.02960,0.42679,0.57841,0.62871
1305,1.000000029360,0.07517,0.48197,0.61694,0.66160,-0.02924,0.42701,0.57862,0.62891
1306,1.000000029315,0.07546,0.48221,0.61714,0.66179,-0.02888,0.42729,0.57885,0.62913
1307,1.000000029270,0.07575,0.48239,0.61728,0.66192,-0.02852,0.42751,0.57902,0.62929
1308,1.000000029225,0.07604,0.48262,0.61750,0.66213,-0.02817,0.42779,0.57928,0.62953
1309,1.000000029181,0.07633,0.48280,0.61764,0.66226,-0.02781,0.42801,0.57945,0.62968
1310,1.000000029136,0.07662,0.48304,0.61784,0.66245,-0.02746,0.42828,0.57968,0.62990
1311,1.000000029092,0.07691,0.48322,0.61802,0.66261,-0.02710,0.42850,0.57989,0.63009
1312,1.000000029047,0.07720,0.48345,0.61822,0.66280,-0.02674,0.42877,0.58012,0.63031
1313,1.000000029003,0.07748,0.48363,0.61836,0.66293,-0.02639,0.42899,0.58029,0.63046
1314,1.000000028959,0.07777,0.48386,0.61857,0.66314,-0.02604,0.42927,0.58054,0.63070
1315,1.000000028915,0.07806,0.48404,0.61872,0.66329,-0.02568,0.42949,0.58071,0.63088
1316,1.000000028871,0.07835,0.48427,0.61892,0.66347,-0.02533,0.42976,0.58094,0.63109
1317,1.000000028827,0.07863,0.48445,0.61909,0.66363,-0.02498,0.42998,0.58115,0.63128
1318,1.000000028783,0.07892,0.48468,0.61929,0.66382,-0.02462,0.43025,0.58138,0.63149
1319,1.000000028740,0.07921,0.48486,0.61943,0.66395,-0.02427,0.43047,0.58155,0.63165
1320,1.000000028696,0.07949,0.48509,0.61964,0.66415,-0.02392,0.43074,0.58179,0.63189
1321,1.000000028653,0.07978,0.48527,0.61979,0.66428,-0.02357,0.43096,0.58196,0.63204
1322,1.000000028609,0.08007,0.48550,0.61998,0.66447,-0.02322,0.43123,0.58219,0.63225
1323,1.000000028566,0.08035,0.48568,0.62015,0.66463,-0.02287,0.43144,0.58240,0.63244
1324,1.000000028523,0.08064,0.48591,0.62035,0.66481,-0.02252,0.43171,0.58262,0.63265
1325,1.000000028480,0.08092,0.48609,0.62049,0.66496,-0.02217,0.43193,0.58279,0.63282
1326,1.000000028437,0.08121,0.48632,0.62070,0.66516,-0.02182,0.43220,0.58304,0.63306
1327,1.000000028394,0.08149,0.48649,0.62085,0.66529,-0.02147,0.43241,0.58321,0.63321
1328,1.000000028352,0.08177,0.48672,0.62104,0.66547,-0.02112,0.43268,0.58344,0.63342
1329,1.000000028309,0.08206,0.48690,0.62121,0.66563,-0.02077,0.43290,0.58364,0.63361
1330,1.000000028266,0.08234,0.48713,0.62140,0.66582,-0.02042,0.43317,0.58386,0.63382
1331,1.000000028224,0.08262,0.48730,0.62155,0.66594,-0.02007,0.43338,0.58403,0.63397
1332,1.000000028182,0.08291,0.48753,0.62176,0.66614,-0.01973,0.43365,0.58428,0.63421
1333,1.000000028139,0.08319,0.48771,0.62190,0.66627,-0.01938,0.43386,0.58444,0.63436
1334,1.000000028097,0.08347,0.48793,0.62209,0.66645,-0.01904,0.43413,0.58467,0.63457
1335,1.000000028055,0.08375,0.48811,0.62226,0.66662,-0.01869,0.43434,0.58487,0.63476
1336,1.000000028013,0.08403,0.48834,0.62245,0.66680,-0.01834,0.43461,0.58509,0.63497
1337,1.000000027971,0.08432,0.48851,0.62259,0.66693,-0.01800,0.43482,0.58526,0.63512
1338,1.000000027929,0.08460,0.48874,0.62280,0.66713,-0.01765,0.43509,0.58550,0.63536
1339,1.000000027888,0.08488,0.48891,0.62294,0.66726,-0.01731,0.43530,0.58567,0.63551
1340,1.000000027846,0.08516,0.48914,0.62313,0.66744,-0.01697,0.43556,0.58589,0.63572
1341,1.000000027805,0.08544,0.48931,0.62330,0.66760,-0.01662,0.43578,0.58609,0.63590
1342,1.000000027763,0.08572,0.48954,0.62349,0.66778,-0.01628,0.43604,0.58631,0.63611
1343,1.000000027722,0.08600,0.48971,0.62363,0.66790,-0.01594,0.43625,0.58648,0.63626
1344,1.000000027681,0.08628,0.48994,0.62384,0.66810,-0.01559,0.43652,0.58672,0.63649
1345,1.000000027639,0.08655,0.49011,0.62398,0.66825,-0.01525,0.43673,0.58689,0.63666
1346,1.000000027598,0.08683,0.49033,0.62417,0.66842,-0.01491,0.43699,0.58711,0.63686
1347,1.000000027557,0.08711,0.49051,0.62434,0.66858,-0.01457,0.43720,0.58731,0.63704
1348,1.000000027516,0.08739,0.49073,0.62453,0.66876,-0.01423,0.43746,0.58753,0.63725
1349,1.000000027476,0.08767,0.49090,0.62467,0.66888,-0.01389,0.43767,0.58769,0.63740
1350,1.000000027435,0.08794,0.49113,0.62487,0.66908,-0.01355,0.43794,0.58793,0.63763
1351,1.000000027394,0.08822,0.49130,0.62501,0.66921,-0.01321,0.43815,0.58810,0.63778
1352,1.000000027354,0.08850,0.49152,0.62520,0.66939,-0.01287,0.43841,0.58832,0.63798
1353,1.000000027313,0.08877,0.49170,0.62537,0.66954,-0.01253,0.43862,0.58851,0.63816
1354,1.000000027273,0.08905,0.49191,0.62555,0.66972,-0.01219,0.43888,0.58873,0.63837
1355,1.000000027233,0.08932,0.49209,0.62569,0.66986,-0.01185,0.43909,0.58890,0.63853
1356,1.000000027193,0.08960,0.49231,0.62590,0.67005,-0.01152,0.43935,0.58913,0.63876
1357,1.000000027153,0.08988,0.49248,0.62603,0.67018,-0.01118,0.43955,0.58930,0.63891
1358,1.000000027113,0.09015,0.49270,0.62622,0.67035,-0.01084,0.43981,0.58951,0.63911
1359,1.000000027073,0.09042,0.49287,0.62639,0.67051,-0.01051,0.44002,0.58971,0.63929
1360,1.000000027033,0.09070,0.49309,0.62657,0.67069,-0.01017,0.44028,0.58993,0.63950
1361,1.000000026993,0.09097,0.49327,0.62671,0.67081,-0.00983,0.44049,0.59009,0.63964
1362,1.000000026954,0.09125,0.49348,0.62691,0.67101,-0.00950,0.44075,0.59032,0.63987
1363,1.000000026914,0.09152,0.49366,0.62705,0.67113,-0.00916,0.44095,0.59049,0.64001
1364,1.000000026875,0.09179,0.49387,0.62724,0.67130,-0.00883,0.44121,0.59070,0.64022
1365,1.000000026835,0.09207,0.49405,0.62740,0.67147,-0.00849,0.44142,0.59090,0.64040
1366,1.000000026796,0.09234,0.49426,0.62759,0.67164,-0.00816,0.44167,0.59111,0.64061
1367,1.000000026757,0.09261,0.49443,0.62772,0.67176,-0.00783,0.44188,0.59127,0.64075
1368,1.000000026718,0.09288,0.49465,0.62792,0.67196,-0.00749,0.44214,0.59151,0.64097
1369,1.000000026679,0.09315,0.49482,0.62806,0.67208,-0.00716,0.44234,0.59167,0.64112
1370,1.000000026640,0.09343,0.49504,0.62825,0.67226,-0.00683,0.44260,0.59189,0.64133
1371,1.000000026601,0.09370,0.49521,0.62841,0.67241,-0.00650,0.44280,0.59208,0.64150
1372,1.000000026562,0.09397,0.49542,0.62859,0.67258,-0.00616,0.44306,0.59229,0.64170
1373,1.000000026524,0.09424,0.49559,0.62873,0.67270,-0.00583,0.44326,0.59245,0.64185
1374,1.000000026485,0.09451,0.49581,0.62893,0.67290,-0.00550,0.44352,0.59268,0.64207
1375,1.000000026446,0.09478,0.49598,0.62906,0.67303,-0.00517,0.44372,0.59284,0.64223
1376,1.000000026408,0.09505,0.49619,0.62925,0.67321,-0.00484,0.44397,0.59306,0.64243
1377,1.000000026370,0.09532,0.49636,0.62941,0.67336,-0.00451,0.44418,0.59325,0.64260
1378,1.000000026331,0.09559,0.49658,0.62959,0.67353,-0.00418,0.44443,0.59346,0.64280
1379,1.000000026293,0.09586,0.49675,0.62973,0.67365,-0.00385,0.44463,0.59362,0.64295
1380,1.000000026255,0.09612,0.49696,0.62992,0.67384,-0.00352,0.44489,0.59385,0.64317
1381,1.000000026217,0.09639,0.49713,0.63006,0.67396,-0.00320,0.44509,0.59401,0.64331
1382,1.000000026179,0.09666,0.49734,0.63024,0.67413,-0.00287,0.44534,0.59422,0.64351
1383,1.000000026141,0.09693,0.49751,0.63040,0.67428,-0.00254,0.44554,0.59441,0.64368
1384,1.000000026104,0.09720,0.49773,0.63058,0.67445,-0.00221,0.44580,0.59462,0.64388
1385,1.000000026066,0.09746,0.49789,0.63072,0.67459,-0.00189,0.44600,0.59478,0.64404
1386,1.000000026028,0.09773,0.49811,0.63091,0.67478,-0.00156,0.44625,0.59501,0.64426
1387,1.000000025991,0.09800,0.49827,0.63105,0.67490,-0.00123,0.44645,0.59517,0.64440
1388,1.000000025953,0.09826,0.49849,0.63123,0.67507,-0.00091,0.44670,0.59538,0.64459
1389,1.000000025916,0.09853,0.49865,0.63139,0.67522,-0.00058,0.44690,0.59557,0.64477
1390,1.000000025879,0.09879,0.49886,0.63157,0.67539,-0.00026,0.44715,0.59578,0.64497
1391,1.000000025842,0.09906,0.49903,0.63170,0.67551,0.00007,0.44735,0.59593,0.64511
1392,1.000000025804,0.09932,0.49924,0.63190,0.67570,0.00039,0.44760,0.59616,0.64533
1393,1.000000025767,0.09959,0.49941,0.63203,0.67582,0.00072,0.44780,0.59632,0.64547
1394,1.000000025730,0.09985,0.49962,0.63221,0.67599,0.00104,0.44805,0.59653,0.64566
1395,1.000000025694,0.10012,0.49979,0.63237,0.67614,0.00137,0.44825,0.59671,0.64584
1396,1.000000025657,0.10038,0.50000,0.63255,0.67631,0.00169,0.44850,0.59692,0.64604
1397,1.000000025620,0.10065,0.50016,0.63268,0.67643,0.00201,0.44870,0.59708,0.64618
1398,1.000000025583,0.10091,0.50037,0.63287,0.67662,0.00233,0.44894,0.59730,0.64639
1399,1.000000025547,0.10117,0.50054,0.63301,0.67674,0.00266,0.44914,0.59746,0.64653
1400,1.000000025510,0.10144,0.50075,0.63319,0.67691,0.00298,0.44939,0.59767,0.64673
1401,1.000000025474,0.10170,0.50091,0.63334,0.67706,0.00330,0.44959,0.59785,0.64690
1402,1.000000025438,0.10196,0.50112,0.63352,0.67722,0.00362,0.44983,0.59806,0.64710
1403,1.000000025401,0.10222,0.50129,0.63365,0.67734,0.00394,0.45003,0.59821,0.64724
1404,1.000000025365,0.10249,0.50149,0.63384,0.67753,0.00426,0.45028,0.59844,0.64745
1405,1.000000025329,0.10275,0.50166,0.63398,0.67766,0.00458,0.45048,0.59859,0.64760
1406,1.000000025293,0.10301,0.50187,0.63415,0.67783,0.00490,0.45072,0.59880,0.64780
1407,1.000000025257,0.10327,0.50203,0.63431,0.67797,0.00522,0.45092,0.59898,0.64796
1408,1.000000025221,0.10353,0.50224,0.63449,0.67814,0.00554,0.45116,0.59919,0.64816
1409,1.000000025186,0.10379,0.50240,0.63462,0.67825,0.00586,0.45136,0.59934,0.64830
1410,1.000000025150,0.10405,0.50261,0.63481,0.67844,0.00617,0.45160,0.59956,0.64851
1411,1.000000025114,0.10431,0.50277,0.63494,0.67856,0.00649,0.45180,0.59972,0.64865
1412,1.000000025079,0.10457,0.50298,0.63512,0.67872,0.00681,0.45204,0.59992,0.64884
1413,1.000000025043,0.10483,0.50314,0.63527,0.67887,0.00713,0.45224,0.60011,0.64901
1414,1.000000025008,0.10509,0.50335,0.63545,0.67903,0.00744,0.45248,0.60031,0.64920
1415,1.000000024972,0.10535,0.50351,0.63558,0.67916,0.00776,0.45268,0.60046,0.64935
1416,1.000000024937,0.10561,0.50372,0.63577,0.67935,0.00808,0.45292,0.60068,0.64956
1417,1.000000024902,0.10587,0.50388,0.63590,0.67946,0.00839,0.45312,0.60084,0.64970
1418,1.000000024867,0.10612,0.50409,0.63607,0.67963,0.00871,0.45336,0.60104,0.64989
1419,1.000000024832,0.10638,0.50425,0.63623,0.67977,0.00902,0.45355,0.60122,0.65005
1420,1.000000024797,0.10664,0.50445,0.63640,0.67994,0.00934,0.45379,0.60142,0.65025
1421,1.000000024762,0.10690,0.50462,0.63653,0.68005,0.00965,0.45399,0.60158,0.65038
1422,1.000000024727,0.10715,0.50482,0.63672,0.68023,0.00997,0.45423,0.60179,0.65059
1423,1.000000024692,0.10741,0.50498,0.63685,0.68035,0.01028,0.45442,0.60195,0.65073
1424,1.000000024658,0.10767,0.50518,0.63702,0.68051,0.01059,0.45466,0.60215,0.65092
1425,1.000000024623,0.10792,0.50535,0.63717,0.68067,0.01091,0.45486,0.60233,0.65109
1426,1.000000024589,0.10818,0.50555,0.63735,0.68083,0.01122,0.45509,0.60253,0.65128
1427,1.000000024554,0.10844,0.50571,0.63748,0.68094,0.01153,0.45529,0.60268,0.65142
1428,1.000000024520,0.10869,0.50591,0.63766,0.68112,0.01184,0.45553,0.60290,0.65162
1429,1.000000024485,0.10895,0.50607,0.63779,0.68124,0.01216,0.45572,0.60305,0.65176
1430,1.000000024451,0.10920,0.50628,0.63796,0.68141,0.01247,0.45596,0.60325,0.65195
1431,1.000000024417,0.10946,0.50644,0.63812,0.68155,0.01278,0.45615,0.60343,0.65211
1432,1.000000024383,0.10971,0.50664,0.63829,0.68171,0.01309,0.45639,0.60363,0.65230
1433,1.000000024349,0.10997,0.50680,0.63842,0.68182,0.01340,0.45658,0.60378,0.65244
1434,1.000000024315,0.11022,0.50700,0.63860,0.68200,0.01371,0.45682,0.60399,0.65264
1435,1.000000024281,0.11047,0.50716,0.63873,0.68213,0.01402,0.45701,0.60415,0.65279
1436,1.000000024247,0.11073,0.50736,0.63890,0.68229,0.01433,0.45724,0.60434,0.65298
1437,1.000000024214,0.11098,0.50752,0.63905,0.68243,0.01464,0.45744,0.60452,0.65314
1438,1.000000024180,0.11123,0.50772,0.63922,0.68259,0.01495,0.45767,0.60472,0.65333
1439,1.000000024146,0.11149,0.50788,0.63935,0.68271,0.01525,0.45786,0.60487,0.65346
1440,1.000000024113,0.11174,0.50808,0.63953,0.68289,0.01556,0.45810,0.60508,0.65367
1441,1.000000024079,0.11199,0.50824,0.63966,0.68300,0.01587,0.45829,0.60523,0.65380
1442,1.000000024046,0.11224,0.50844,0.63983,0.68316,0.01618,0.45852,0.60543,0.65398
1443,1.000000024013,0.11249,0.50860,0.63998,0.68330,0.01649,0.45871,0.60561,0.65415
1444,1.000000023979,0.11275,0.50880,0.64015,0.68346,0.01679,0.45895,0.60580,0.65433
1445,1.000000023946,0.11300,0.50895,0.64028,0.68359,0.01710,0.45914,0.60595,0.65448
1446,1.000000023913,0.11325,0.50915,0.64046,0.68376,0.01740,0.45937,0.60617,0.65468
1447,1.000000023880,0.11350,0.50931,0.64059,0.68387,0.01771,0.45956,0.60631,0.65481
1448,1.000000023847,0.11375,0.50951,0.64076,0.68403,0.01802,0.45979,0.60651,0.65500
1449,1.000000023814,0.11400,0.50967,0.64091,0.68417,0.01832,0.45998,0.60668,0.65516
1450,1.000000023781,0.11425,0.50986,0.64107,0.68433,0.01863,0.46022,0.60688,0.65534
1451,1.000000023749,0.11450,0.51002,0.64120,0.68445,0.01893,0.46040,0.60703,0.65548
1452,1.000000023716,0.11475,0.51022,0.64138,0.68462,0.01923,0.46064,0.60724,0.65568
1453,1.000000023683,0.11500,0.51038,0.64151,0.68473,0.01954,0.46082,0.60739,0.65581
1454,1.000000023651,0.11525,0.51057,0.64167,0.68489,0.01984,0.46106,0.60758,0.65599
1455,1.000000023618,0.11549,0.51073,0.64182,0.68504,0.02015,0.46124,0.60776,0.65616
1456,1.000000023586,0.11574,0.51093,0.64199,0.68520,0.02045,0.46147,0.60795,0.65634
1457,1.000000023553,0.11599,0.51108,0.64212,0.68531,0.02075,0.46166,0.60810,0.65647
1458,1.000000023521,0.11624,0.51128,0.64230,0.68548,0.02105,0.46189,0.60831,0.65667
1459,1.000000023489,0.11649,0.51144,0.64242,0.68559,0.02136,0.46208,0.60845,0.65681
1460,1.000000023457,0.11673,0.51163,0.64259,0.68575,0.02166,0.46231,0.60865,0.65699
1461,1.000000023425,0.11698,0.51179,0.64273,0.68589,0.02196,0.46250,0.60882,0.65715
1462,1.000000023393,0.11723,0.51198,0.64290,0.68605,0.02226,0.46273,0.60901,0.65733
1463,1.000000023361,0.11748,0.51214,0.64303,0.68616,0.02256,0.46291,0.60916,0.65746
1464,1.000000023329,0.11772,0.51233,0.64320,0.68633,0.02286,0.46314,0.60937,0.65766
1465,1.000000023297,0.11797,0.51249,0.64333,0.68646,0.02316,0.46333,0.60951,0.65780
1466,1.000000023265,0.11821,0.51268,0.64349,0.68661,0.02346,0.46356,0.60970,0.65798
1467,1.000000023233,0.11846,0.51284,0.64364,0.68675,0.02376,0.46374,0.60988,0.65814
1468,1.000000023202,0.11871,0.51303,0.64381,0.68690,0.02406,0.46397,0.61007,0.65832
1469,1.000000023170,0.11895,0.51319,0.64393,0.68701,0.02436,0.46415,0.61021,0.65845
1470,1.000000023139,0.11920,0.51338,0.64411,0.68719,0.02466,0.46438,0.61042,0.65865
1471,1.000000023107,0.11944,0.51353,0.64423,0.68730,0.02496,0.46457,0.61056,0.65878
1472,1.000000023076,0.11968,0.51373,0.64440,0.68745,0.02525,0.46479,0.61075,0.65896
1473,1.000000023044,0.11993,0.51388,0.64454,0.68759,0.02555,0.46498,0.61092,0.65911
1474,1.000000023013,0.12017,0.51407,0.64471,0.68774,0.02585,0.46520,0.61112,0.65929
