N,|E1/B0_eff|,|E2/B0_eff|
532,1.56534E-07,1.13162E-06
533,1.55816E-07,1.12753E-06
534,1.55103E-07,1.12347E-06
535,1.54395E-07,1.11943E-06
536,1.53692E-07,1.11542E-06
537,1.52992E-07,1.11142E-06
538,1.52298E-07,1.10745E-06
539,1.51608E-07,1.1035E-06
540,1.50922E-07,1.09957E-06
541,1.5024E-07,1.09566E-06
542,1.49563E-07,1.09178E-06
543,1.4889E-07,1.08791E-06
544,1.48221E-07,1.08407E-06
545,1.47557E-07,1.08024E-06
546,1.46896E-07,1.07644E-06
547,1.4624E-07,1.07266E-06
548,1.45588E-07,1.06889E-06
549,1.4494E-07,1.06515E-06
550,1.44296E-07,1.06143E-06
551,1.43657E-07,1.05773E-06
552,1.43021E-07,1.05404E-06
553,1.42389E-07,1.05038E-06
554,1.41761E-07,1.04673E-06
555,1.41136E-07,1.04311E-06
556,1.40516E-07,1.0395E-06
557,1.399E-07,1.03592E-06
558,1.39287E-07,1.03235E-06
559,1.38678E-07,1.0288E-06
560,1.38073E-07,1.02527E-06
561,1.37471E-07,1.02176E-06
562,1.36873E-07,1.01826E-06
563,1.36279E-07,1.01479E-06
564,1.35689E-07,1.01133E-06
565,1.35102E-07,1.00789E-06
566,1.34518E-07,1.00447E-06
567,1.33938E-07,1.00106E-06
568,1.33362E-07,9.97675E-07
569,1.32789E-07,9.94306E-07
570,1.3222E-07,9.90954E-07
571,1.31654E-07,9.8762E-07
572,1.31091E-07,9.84302E-07
573,1.30532E-07,9.81001E-07
574,1.29976E-07,9.77718E-07
575,1.29423E-07,9.74451E-07
576,1.28874E-07,9.712E-07
577,1.28328E-07,9.67966E-07
578,1.27785E-07,9.64749E-07
579,1.27246E-07,9.61548E-07
580,1.2671E-07,9.58363E-07
581,1.26176E-07,9.55194E-07
582,1.25646E-07,9.52041E-07
583,1.2512E-07,9.48904E-07
584,1.24596E-07,9.45783E-07
585,1.24075E-07,9.42677E-07
586,1.23557E-07,9.39587E-07
587,1.23043E-07,9.36512E-07
588,1.22531E-07,9.33453E-07
