N, |E1/B0_eff|, |E2/B0_eff|, |E3/E3_main_decay|, |E3_main_decay/B0_eff|, |E3/B0_eff|, (|E1|+|E2|+|E3|)/|B0_eff|
895, 0.0000000437833744944418855097421279144, 0.000000417149426241774042362591839323, 0.209503278468502859793950265435, 0.000406187281171328227889672639048, 0.0000850975670776008461975140835235, 0.0000855584998783370621253864174907
896, 0.0000000436637662924138672153399105127, 0.000000416259612387281453730791976488, 0.209501936969338231283597420874, 0.000405254202408060525588937870157, 0.0000849015403694529338985344005984, 0.0000853614637481326292194805324854
897, 0.0000000435446181488818174240745246904, 0.000000415372698310376693284774185527, 0.209500598465445979224147292394, 0.000404324203628092006223963766243, 0.0000847061626341501197846409421898, 0.0000851650799506093782953497909
898, 0.0000000434259277864663437643794188294, 0.000000414488671316276759707554117188, 0.209499262946805614251920808703, 0.000403397271489492246306039669993, 0.0000845114310518010677759951046806, 0.0000849693456509038108794670382166
899, 0.0000000433076929415614746816659920133, 0.000000413607518779910495085141440769, 0.209497930403441294411587783903, 0.000402473392722079278430089508797, 0.0000843173428177270606530163800582, 0.000084774258029448532622783187491
900, 0.0000000431899113642362954440370879715, 0.000000412729228145458464224984869115, 0.209496600825421576768455712642, 0.000401552554126958080769949682658, 0.0000841238951423638286467042379481, 0.0000845798142818735234063732599052
901, 0.0000000430725808181373938924645521261, 0.000000411853786925896379325799575476, 0.209495274202859170677147252363, 0.000400634742576062524414928148783, 0.0000839310852511641160168694829272, 0.0000843860116189081497900877470548
902, 0.0000000429556990803921083885764823142, 0.000000410981182702542038776287930752, 0.209493950525910692693794014612, 0.00039971994501170074896268526718, 0.0000837389103845009792827801335822, 0.0000841928472662839134299449979953
903, 0.0000000428392639415125704917294218154, 0.000000410111403124605749169511122418, 0.209492629784776423118988487241, 0.000398808148446103937068132385598, 0.0000835473677975718108318936398803, 0.0000840003184646379291515548804246
904, 0.0000000427232732053005349746681376408, 0.000000409244435908744199925514288375, 0.209491311969700064158848970588, 0.000397899339960978458929644951093, 0.0000833564547603030816928554472463, 0.0000838084224694171264277556296723
905, 0.0000000426077246887529898638121387239, 0.000000408380268838617760217292439446, 0.209489997070968499691664346084, 0.000396993506707061357972492127525, 0.0000831661685572557973188061333699, 0.000083617156550783168068887237948
906, 0.0000000424926162219685392660649040219, 0.000000407518889764451168194349241185, 0.209488685078911556627696317597, 0.000396090635903679149265002784822, 0.0000829765064875316602862575712986, 0.0000834265179935180799937179854438
907, 0.000000042377945648054551819029943391, 0.00000040666028660259758279398573234, 0.209487375983901767849826486542, 0.000395190714838309902475691562992, 0.0000827874658646799338733883958854, 0.0000832365040969305860080014115611
908, 0.0000000422637108230350676756481879475, 0.00000040580444733510596872310080015, 0.209486069776354136722844253357, 0.000394293730866148581449345717542, 0.00008259904401660500053956802808, 0.0000830471121747631415759667770681
909, 0.0000000421499096157594570075545369433, 0.00000040495136000929178548272871905, 0.209484766446725903159279092603, 0.000393399671409675612747003012669, 0.0000824112382854746093852635070439, 0.0000828583395550996606277537902999
910, 0.0000000420365399078118230838982645118, 0.000000404101012737310951593819784646, 0.209483465985516311229787238273, 0.000392508523958228655758836357707, 0.0000822240460276288067282153172173, 0.0000826701835802739295028930352665
911, 0.0000000419235995934211430539928578005, 0.000000403253393695737055465926029797, 0.209482168383266378306208251856, 0.000391620276067577547260242905832, 0.0000820374646134895439878960340187, 0.0000824826416067787021864159529063
912, 0.0000000418110865793721396329660221534, 0.000000402408491125141784630522687629, 0.209480873630558665725511339618, 0.000390734915359502393539956812967, 0.0000818514914274709571257981497755, 0.0000822957110051754710500616384853
913, 0.0000000416989987849168769595802137122, 0.000000401566293329678545337714470244, 0.209479581718017050962954649125, 0.000389852429521374783484782504896, 0.0000816661238678903119440386024642, 0.0000821093891600049073663358971482
914, 0.000000041587334141687073964598172135, 0.000000400726788676669244789080381283, 0.209478292636306501302883119248, 0.000388972806305742096258620424704, 0.0000814813593468796095991261831987, 0.0000819236734696979659178798617521
915, 0.0000000414760905936071286564864175788, 0.000000399889965596194208550437718176, 0.209477006376132848995691794186, 0.000388096033529914877463864395353, 0.0000812971952902978467415215987283, 0.0000817385613464876480787285228641
916, 0.0000000413652660968078467988923046386, 0.000000399055812580685205956390718811, 0.209475722928242567889581851206, 0.000387222099075557257921003161917, 0.0000811136291376439247448317040786, 0.0000815540502163214177975869871021
917, 0.0000000412548586195408685212066179292, 0.000000398224318184521556583707077327, 0.209474442283422551525835944913, 0.000386350990888280389447417525055, 0.0000809306583419702025411318967441, 0.0000813701375187742649662368104394
918, 0.0000000411448661420937864696433461022, 0.000000397395471023629291132870947607, 0.209473164432499892686437848493, 0.000385482696977238872258922071239, 0.0000807482803697966876310026853463, 0.00008118682070696241070860519964
919, 0.0000000410352866567059491716405521713, 0.000000396569259775083340316628273602, 0.209471889366341664382958785359, 0.000384617205414730148857625784121, 0.000080566492701025859888412655712, 0.0000810040972474576491779009245378
920, 0.0000000409261181674849433510204109761, 0.000000395745673176712725611003091642, 0.209470617075854702275729303252, 0.000383754504335796839507177659897, 0.000080385292828858122831580419641, 0.0000808219646202023205005424431436
921, 0.0000000408173586903237489952516282418, 0.000000394924700026708725978155162282, 0.209469347551985388512411057683, 0.00038289458193783199463146591737, 0.0000802046782597078770814120745115, 0.000080640420318424909556385481302
922, 0.0000000407090062528185610393425864296, 0.000000394106329183235994921602797541, 0.209468080785719436975177452729, 0.000382037426480187239705376549289, 0.0000800246465131202107790434590145, 0.0000804594618485562653350044043985
923, 0.0000000406010588941872715933675563442, 0.00000039329054956404660248278251744, 0.209466816768081679925805744907, 0.000381183026283783788436328066298, 0.0000798451951216882017834264770685, 0.0000802790867301464356575026271423
924, 0.0000000404935146651886067023999273443, 0.000000392477350146096977033691241971, 0.209465555490135856038075959968, 0.000380331369730726300262981761567, 0.0000796663216309708265187856273312, 0.0000800992924957821121025217185005
925, 0.0000000403863716280419116887042829902, 0.000000391666719965167721963488731545, 0.209464296942984399806963813086, 0.000379482445263919558422859950267, 0.0000794880235994114703901514120024, 0.0000799200766910046800238036050169
926, 0.0000000402796278563475791864318076507, 0.000000390858648115486282597459153456, 0.209463041117768232324205769597, 0.000378636241386687945063548316904, 0.0000793102985982570347330432903711, 0.0000797414368742288685948271813322
927, 0.0000000401732814350081140387793638157, 0.000000390053123749352438924671794305, 0.209461788005666553409904446057, 0.000377792746662397690092826131745, 0.0000791331442114776353107502236915, 0.0000795633706166619958637136748497
928, 0.0000000400673304601498292866199283606, 0.000000389250136076766599946072482674, 0.20946053759789663508993173929, 0.00037695194971408187068136857201, 0.0000789565580356868874195227240494, 0.0000793858755022238038487554164604
929, 0.0000000399617730390451675359991070368, 0.000000388449674365060875687609265268, 0.209459289885713616408975393816, 0.000376113839224068138547776919872, 0.0000787805376800627727083841769068, 0.0000792089491274668787516077852791
930, 0.0000000398566072900356420496272393376, 0.000000387651727938532903153377940683, 0.209458044860410299569162184912, 0.000375278403933609152369478614134, 0.0000786050807662690828661626590887, 0.0000790325891014976514113656642688
931, 0.0000000397518313424553919645871326245, 0.000000386856286178082402721694464306, 0.209456802513316947384277514649, 0.000374445632642515692874658698301, 0.0000784301849283774353737709327366, 0.0000788567930458979731684572143336
932, 0.000000039647443336555346094931591166, 0.000000386063338520850441712490888029, 0.209455562835801082039687000865, 0.000373615514208792438379790002542, 0.0000782558478127898565647120575713, 0.0000786815585946472623525194800505
933, 0.0000000395434414234279898336703944451, 0.000000385272874459861382077517911042, 0.209454325819267285148150592931, 0.000372788037548276378744548811961, 0.0000780820670781619272812670328828, 0.0000785068833940452166531782211883
934, 0.0000000394398237649327297238508888386, 0.000000384484883543667489385548450551, 0.209453091455156999091803882451, 0.00037196319163427784592101975372, 0.0000779088403953264864578468042912, 0.0000783327651026350866769562036306
935, 0.0000000393365885336218503230274453073, 0.000000383699355375996180493140691608, 0.209451859734948329640664600313, 0.000371140965497224139477032582229, 0.0000777361654472178880065481759185, 0.0000781592013911275060373643440554
936, 0.0000000392337339126670580394001609902, 0.000000382916279615399887507563286233, 0.209450630650155849838104812553, 0.000370321348224305725674372031274, 0.0000775640399287968064230706324541, 0.0000779861899423248733686175959013
937, 0.0000000391312580957866066712897039459, 0.000000382135645974908515862236837142, 0.209449404192330405143811054857, 0.000369504328959124988881382958799, 0.0000773924615469755865738128322955, 0.0000778137284510462816963463588366
938, 0.0000000390291592871729994344103801485, 0.000000381357444221684474536531268947, 0.209448180353058919824835587636, 0.000368689896901347514296251667468, 0.00007722142802054413316719364338, 0.0000776418146240529906411645850291
939, 0.0000000389274357014212623136145068922, 0.000000380581664176680256661004567831, 0.209446959123964204585422118936, 0.000367878041306355881151965531041, 0.0000770509370800963354540300667485, 0.0000774704461799744369730046858233
940, 0.00000003882608556345778362741507938, 0.000000379808295714298548956200732151, 0.20944574049670476542636873914, 0.000367068751484905945766671400091, 0.0000768809864679570227431606083164, 0.0000772996208492347790757442241279
941, 0.0000000387251071084697147446574968803, 0.000000379037328762054848657969362948, 0.209444524462974613724769447788, 0.000366262016802785593993895071297, 0.0000767115739381094463594332894787, 0.0000771293363739799709228359163386
942, 0.0000000386244985818349269432116591624, 0.000000378268753300242566784951550369, 0.209443311014503077525053536832, 0.000365457826680475942815862384471, 0.0000765426972561232837116854025808, 0.0000769595905080053612054135657904
943, 0.0000000385242582390525194504998503793, 0.000000377502559361600596804421673245, 0.20944210014305461403231923442, 0.000364656170592814971010006198106, 0.0000763743541990831601784335242555, 0.0000767903810166838132946884457791
944, 0.0000000384243843456738737550702044459, 0.000000376738737030983327951107200364, 0.209440891840428623299034416525, 0.000363857038068663559003686806844, 0.0000762065425555176845586745085314, 0.0000766217056768943417603806859362
945, 0.0000000383248751772342493272768137661, 0.000000375977276445033082649953026799, 0.20943968609845926309625286848, 0.000363060418690573918215162983724, 0.0000760392601253289938744643555151, 0.0000764535622769512612064415853557
