t,zero_1,zero_2,zero_3,zero_4,zero_5
0.081,28.22251465,41.9829741,49.97423989,60.77255893,65.8322525
0.082,28.22193537,41.98222034,49.97365349,60.77160835,65.83178287
0.083,28.22135611,41.98146658,49.97306709,60.77065783,65.83131319
0.084,28.22077684,41.98071284,49.97248067,60.76970737,65.83084346
0.085,28.22019758,41.97995912,49.97189426,60.76875696,65.83037367
0.086,28.21961833,41.97920541,49.97130783,60.76780663,65.82990384
0.087,28.21903908,41.97845172,49.9707214,60.76685634,65.82943396
0.088,28.21845984,41.97769804,49.97013496,60.76590611,65.82896398
0.089,28.21788059,41.97694438,49.96954852,60.76495595,65.82849401
0.09,28.21730136,41.97619073,49.96896206,60.76400584,65.82802399
0.091,28.21672213,41.9754371,49.9683756,60.76305579,65.82755387
0.092,28.2161429,41.97468348,49.96778914,60.76210579,65.82708375
0.093,28.21556368,41.97392988,49.96720266,60.76115586,65.82661355
0.094,28.21498446,41.97317629,49.96661619,60.76020598,65.8261433
0.095,28.21440524,41.97242272,49.9660297,60.75925617,65.82567299
0.096,28.21382603,41.97166916,49.96544321,60.75830641,65.82520266
0.097,28.21324683,41.97091562,49.96485671,60.75735671,65.82473225
0.098,28.21266763,41.97016209,49.9642702,60.75640707,65.82426182
0.099,28.21208843,41.96940858,49.96368368,60.75545748,65.82379134
0.1,28.21150924,41.96865508,49.96309716,60.75450796,65.82332079
0.101,28.21093005,41.9679016,49.96251064,60.75355849,65.82285019
0.102,28.21035086,41.96714813,49.9619241,60.75260908,65.82237954
0.103,28.20977169,41.96639468,49.96133756,60.75165973,65.82190884
0.104,28.20919251,41.96564124,49.96075101,60.75071044,65.8214381
0.105,28.20861334,41.96488782,49.96016446,60.74976121,65.82096731
0.106,28.20803417,41.96413441,49.9595779,60.74881203,65.82049645
0.107,28.20745501,41.96338101,49.95899133,60.74786292,65.82002555
0.108,28.20687586,41.96262764,49.95840475,60.74691385,65.81955463
0.109,28.2062967,41.96187427,49.95781817,60.74596485,65.81908362
0.11,28.20571755,41.96112093,49.95723158,60.74501591,65.81861257
0.111,28.20513841,41.96036759,49.95664499,60.74406703,65.81814147
0.112,28.20455927,41.95961428,49.95605838,60.7431182,65.81767033
0.113,28.20398014,41.95886097,49.95547177,60.74216944,65.81719913
0.114,28.20340101,41.95810768,49.95488516,60.74122072,65.81672789
0.115,28.20282188,41.95735441,49.95429853,60.74027207,65.81625657
0.116,28.20224276,41.95660115,49.95371191,60.73932348,65.81578525
0.117,28.20166364,41.95584791,49.95312527,60.73837494,65.81531384
0.118,28.20108453,41.95509468,49.95253863,60.73742646,65.8148424
0.119,28.20050542,41.95434147,49.95195198,60.73647805,65.8143709
0.12,28.19992631,41.95358827,49.95136532,60.73552968,65.81389936
0.121,28.19934721,41.95283509,49.95077865,60.73458138,65.81342776
0.122,28.19876812,41.95208192,49.95019198,60.73363313,65.81295612
0.123,28.19818903,41.95132877,49.94960531,60.73268495,65.81248439
0.124,28.19760994,41.95057563,49.94901862,60.73173681,65.81201267
0.125,28.19703086,41.94982251,49.94843193,60.73078874,65.81154087
0.126,28.19645178,41.9490694,49.94784523,60.72984073,65.81106903
0.127,28.19587271,41.9483163,49.94725853,60.72889277,65.81059713
0.128,28.19529364,41.94756323,49.94667182,60.72794487,65.81012518
0.129,28.19471458,41.94681016,49.9460851,60.72699703,65.80965319
0.13,28.19413552,41.94605711,49.94549837,60.72604925,65.80918115
0.131,28.19355646,41.94530408,49.94491164,60.72510152,65.80870904
0.132,28.19297741,41.94455106,49.9443249,60.72415386,65.80823691
0.133,28.19239836,41.94379806,49.94373816,60.72320625,65.80776471
0.134,28.19181932,41.94304507,49.94315141,60.72225869,65.80729246
0.135,28.19124028,41.9422921,49.94256465,60.7213112,65.80682018
0.136,28.19066125,41.94153914,49.94197788,60.72036376,65.80634783
0.137,28.19008222,41.9407862,49.94139111,60.71941638,65.80587544
0.138,28.18950319,41.94003327,49.94080433,60.71846906,65.80540301
0.139,28.18892417,41.93928035,49.94021755,60.7175218,65.8049305
0.14,28.18834516,41.93852745,49.93963075,60.71657459,65.80445798
0.141,28.18776615,41.93777457,49.93904395,60.71562745,65.80398537
0.142,28.18718714,41.9370217,49.93845715,60.71468035,65.80351273
0.143,28.18660814,41.93626885,49.93787034,60.71373332,65.80304003
0.144,28.18602914,41.93551601,49.93728352,60.71278635,65.8025673
0.145,28.18545015,41.93476318,49.93669669,60.71183943,65.80209451
0.146,28.18487116,41.93401038,49.93610986,60.71089256,65.80162167
0.147,28.18429217,41.93325758,49.93552302,60.70994576,65.80114879
0.148,28.18371319,41.9325048,49.93493617,60.70899902,65.80067584
0.149,28.18313421,41.93175204,49.93434932,60.70805233,65.80020287
0.15,28.18255524,41.93099929,49.93376246,60.7071057,65.79972983
0.151,28.18197627,41.93024655,49.93317559,60.70615912,65.79925675
0.152,28.18139731,41.92949384,49.93258872,60.70521261,65.79878363
0.153,28.18081835,41.92874113,49.93200184,60.70426615,65.79831042
0.154,28.1802394,41.92798844,49.93141495,60.70331975,65.7978372
0.155,28.17966045,41.92723577,49.93082805,60.7023734,65.7973639
0.156,28.1790815,41.92648311,49.93024115,60.70142712,65.79689057
0.157,28.17850256,41.92573046,49.92965425,60.70048089,65.79641719
0.158,28.17792363,41.92497783,49.92906733,60.69953472,65.79594377
0.159,28.1773447,41.92422522,49.92848041,60.6985886,65.79547028
0.16,28.17676577,41.92347262,49.92789348,60.69764254,65.79499675
0.161,28.17618684,41.92272003,49.92730655,60.69669654,65.79452319
0.162,28.17560793,41.92196746,49.92671961,60.6957506,65.79404955
0.163,28.17502901,41.92121491,49.92613266,60.69480472,65.79357586
0.164,28.1744501,41.92046237,49.92554571,60.69385889,65.79310215
0.165,28.1738712,41.91970984,49.92495874,60.69291312,65.79262836
0.166,28.1732923,41.91895733,49.92437178,60.6919674,65.79215454
0.167,28.1727134,41.91820484,49.9237848,60.69102175,65.79168067
0.168,28.17213451,41.91745236,49.92319782,60.69007614,65.79120675
0.169,28.17155562,41.91669989,49.92261083,60.6891306,65.79073277
0.17,28.17097674,41.91594744,49.92202384,60.68818511,65.79025877
0.171,28.17039786,41.91519501,49.92143684,60.68723969,65.78978469
0.172,28.16981898,41.91444258,49.92084983,60.68629432,65.78931057
0.173,28.16924011,41.91369018,49.92026281,60.685349,65.78883641
0.174,28.16866125,41.91293779,49.91967579,60.68440375,65.78836221
0.175,28.16808238,41.91218541,49.91908876,60.68345854,65.78788793
0.176,28.16750353,41.91143305,49.91850173,60.6825134,65.78741362
0.177,28.16692468,41.9106807,49.91791469,60.68156832,65.78693924
0.178,28.16634583,41.90992837,49.91732764,60.68062328,65.78646484
0.179,28.16576698,41.90917606,49.91674058,60.67967831,65.7859904
0.18,28.16518814,41.90842376,49.91615352,60.6787334,65.78551587
0.181,28.16460931,41.90767147,49.91556645,60.67778854,65.78504131
0.182,28.16403048,41.9069192,49.91497938,60.67684374,65.7845667
