N,bound,boundtype
69355,0.043744346,lemma_euler5
69356,0.043748961,lemma_euler5
69357,0.043752376,lemma_euler5
69358,0.043756991,lemma_euler5
69359,0.043758827,lemma_euler5
69360,0.043764509,lemma_euler5
69361,0.043766344,lemma_euler5
69362,0.043770959,lemma_euler5
69363,0.043774373,lemma_euler5
69364,0.043778988,lemma_euler5
69365,0.043781739,lemma_euler5
69366,0.043787295,lemma_euler5
69367,0.04378913,lemma_euler5
69368,0.043793745,lemma_euler5
69369,0.043797158,lemma_euler5
69370,0.043802045,lemma_euler5
69371,0.04380388,lemma_euler5
69372,0.043809436,lemma_euler5
69373,0.043811271,lemma_euler5
69374,0.043815885,lemma_euler5
69375,0.043819881,lemma_euler5
69376,0.043824495,lemma_euler5
69377,0.04382633,lemma_euler5
69378,0.043831885,lemma_euler5
69379,0.04383372,lemma_euler5
69380,0.043838606,lemma_euler5
69381,0.043842019,lemma_euler5
69382,0.043846632,lemma_euler5
69383,0.043848467,lemma_euler5
69384,0.043854021,lemma_euler5
69385,0.043856771,lemma_euler5
69386,0.043861384,lemma_euler5
69387,0.043864796,lemma_euler5
69388,0.04386941,lemma_euler5
69389,0.043871244,lemma_euler5
69390,0.043876923,lemma_euler5
69391,0.043878757,lemma_euler5
69392,0.04388337,lemma_euler5
69393,0.043886782,lemma_euler5
69394,0.043891394,lemma_euler5
69395,0.043894143,lemma_euler5
69396,0.043899696,lemma_euler5
69397,0.043901531,lemma_euler5
69398,0.043906143,lemma_euler5
69399,0.043909554,lemma_euler5
69400,0.043914439,lemma_euler5
69401,0.043916273,lemma_euler5
69402,0.043921825,lemma_euler5
69403,0.043923659,lemma_euler5
69404,0.043928271,lemma_euler5
69405,0.043932265,lemma_euler5
69406,0.043936876,lemma_euler5
69407,0.043938711,lemma_euler5
69408,0.043944262,lemma_euler5
69409,0.043946096,lemma_euler5
69410,0.043950979,lemma_euler5
69411,0.04395439,lemma_euler5
69412,0.043959001,lemma_euler5
69413,0.043960835,lemma_euler5
69414,0.043966386,lemma_euler5
69415,0.043969134,lemma_euler5
69416,0.043973744,lemma_euler5
69417,0.043977155,lemma_euler5
69418,0.043981765,lemma_euler5
69419,0.043983599,lemma_euler5
69420,0.043989274,lemma_euler5
69421,0.043991108,lemma_euler5
69422,0.043995718,lemma_euler5
69423,0.043999128,lemma_euler5
69424,0.044003738,lemma_euler5
69425,0.044006486,lemma_euler5
69426,0.044012035,lemma_euler5
69427,0.044013869,lemma_euler5
69428,0.044018479,lemma_euler5
69429,0.044021888,lemma_euler5
69430,0.044026769,lemma_euler5
69431,0.044028603,lemma_euler5
69432,0.044034152,lemma_euler5
69433,0.044035985,lemma_euler5
69434,0.044040594,lemma_euler5
69435,0.044044586,lemma_euler5
69436,0.044049195,lemma_euler5
69437,0.044051028,lemma_euler5
69438,0.044056576,lemma_euler5
69439,0.04405841,lemma_euler5
69440,0.04406329,lemma_euler5
69441,0.044066699,lemma_euler5
69442,0.044071307,lemma_euler5
69443,0.044073141,lemma_euler5
69444,0.044078688,lemma_euler5
69445,0.044081435,lemma_euler5
69446,0.044086043,lemma_euler5
69447,0.044089451,lemma_euler5
69448,0.044094058,lemma_euler5
69449,0.044095892,lemma_euler5
69450,0.044101564,lemma_euler5
69451,0.044103397,lemma_euler5
69452,0.044108004,lemma_euler5
69453,0.044111413,lemma_euler5
69454,0.04411602,lemma_euler5
69455,0.044118766,lemma_euler5
69456,0.044124312,lemma_euler5
69457,0.044126145,lemma_euler5
69458,0.044130751,lemma_euler5
69459,0.044134159,lemma_euler5
69460,0.044139038,lemma_euler5
69461,0.044140871,lemma_euler5
69462,0.044146416,lemma_euler5
69463,0.04414825,lemma_euler5
69464,0.044152855,lemma_euler5
69465,0.044156845,lemma_euler5
69466,0.044161451,lemma_euler5
69467,0.044163283,lemma_euler5
69468,0.044168828,lemma_euler5
69469,0.044170661,lemma_euler5
69470,0.044175539,lemma_euler5
69471,0.044178946,lemma_euler5
69472,0.044183551,lemma_euler5
69473,0.044185384,lemma_euler5
69474,0.044190928,lemma_euler5
69475,0.044193673,lemma_euler5
69476,0.044198278,lemma_euler5
69477,0.044201685,lemma_euler5
69478,0.04420629,lemma_euler5
69479,0.044208123,lemma_euler5
69480,0.044213791,lemma_euler5
69481,0.044215623,lemma_euler5
69482,0.044220228,lemma_euler5
69483,0.044223635,lemma_euler5
69484,0.044228239,lemma_euler5
69485,0.044230984,lemma_euler5
69486,0.044236526,lemma_euler5
69487,0.044238359,lemma_euler5
69488,0.044242963,lemma_euler5
69489,0.044246369,lemma_euler5
69490,0.044251244,lemma_euler5
69491,0.044253077,lemma_euler5
69492,0.044258619,lemma_euler5
69493,0.044260451,lemma_euler5
69494,0.044265054,lemma_euler5
69495,0.044269041,lemma_euler5
69496,0.044273645,lemma_euler5
69497,0.044275477,lemma_euler5
69498,0.044281018,lemma_euler5
69499,0.04428285,lemma_euler5
69500,0.044287725,lemma_euler5
69501,0.04429113,lemma_euler5
69502,0.044295733,lemma_euler5
69503,0.044297565,lemma_euler5
69504,0.044303106,lemma_euler5
69505,0.044305849,lemma_euler5
69506,0.044310452,lemma_euler5
69507,0.044313857,lemma_euler5
69508,0.044318459,lemma_euler5
69509,0.044320291,lemma_euler5
69510,0.044325956,lemma_euler5
69511,0.044327788,lemma_euler5
69512,0.04433239,lemma_euler5
69513,0.044335794,lemma_euler5
69514,0.044340396,lemma_euler5
69515,0.044343139,lemma_euler5
69516,0.044348679,lemma_euler5
69517,0.044350511,lemma_euler5
69518,0.044355112,lemma_euler5
69519,0.044358516,lemma_euler5
69520,0.044363388,lemma_euler5
69521,0.04436522,lemma_euler5
69522,0.044370758,lemma_euler5
69523,0.04437259,lemma_euler5
69524,0.044377191,lemma_euler5
69525,0.044381176,lemma_euler5
69526,0.044385776,lemma_euler5
69527,0.044387608,lemma_euler5
69528,0.044393146,lemma_euler5
69529,0.044394977,lemma_euler5
69530,0.044399849,lemma_euler5
69531,0.044403252,lemma_euler5
69532,0.044407852,lemma_euler5
69533,0.044409684,lemma_euler5
69534,0.044415221,lemma_euler5
69535,0.044417964,lemma_euler5
69536,0.044422563,lemma_euler5
69537,0.044425967,lemma_euler5
69538,0.044430566,lemma_euler5
69539,0.044432397,lemma_euler5
69540,0.044438059,lemma_euler5
69541,0.04443989,lemma_euler5
69542,0.044444489,lemma_euler5
69543,0.044447892,lemma_euler5
69544,0.044452491,lemma_euler5
69545,0.044455233,lemma_euler5
69546,0.044460769,lemma_euler5
69547,0.0444626,lemma_euler5
69548,0.044467198,lemma_euler5
69549,0.044470601,lemma_euler5
69550,0.044475471,lemma_euler5
69551,0.044477302,lemma_euler5
69552,0.044482837,lemma_euler5
69553,0.044484668,lemma_euler5
69554,0.044489266,lemma_euler5
69555,0.044493249,lemma_euler5
69556,0.044497846,lemma_euler5
69557,0.044499677,lemma_euler5
69558,0.044505212,lemma_euler5
69559,0.044507042,lemma_euler5
69560,0.044511911,lemma_euler5
69561,0.044515313,lemma_euler5
69562,0.04451991,lemma_euler5
69563,0.044521741,lemma_euler5
69564,0.044527275,lemma_euler5
69565,0.044530016,lemma_euler5
69566,0.044534613,lemma_euler5
69567,0.044538014,lemma_euler5
69568,0.044542611,lemma_euler5
69569,0.044544442,lemma_euler5
69570,0.044550099,lemma_euler5
69571,0.04455193,lemma_euler5
69572,0.044556527,lemma_euler5
69573,0.044559928,lemma_euler5
69574,0.044564524,lemma_euler5
69575,0.044567264,lemma_euler5
69576,0.044572797,lemma_euler5
69577,0.044574628,lemma_euler5
69578,0.044579224,lemma_euler5
69579,0.044582624,lemma_euler5
69580,0.044587491,lemma_euler5
69581,0.044589321,lemma_euler5
69582,0.044594853,lemma_euler5
69583,0.044596683,lemma_euler5
69584,0.044601278,lemma_euler5
69585,0.044605259,lemma_euler5
69586,0.044609854,lemma_euler5
69587,0.044611684,lemma_euler5
69588,0.044617215,lemma_euler5
69589,0.044619046,lemma_euler5
69590,0.044623911,lemma_euler5
69591,0.044627311,lemma_euler5
69592,0.044631906,lemma_euler5
69593,0.044633736,lemma_euler5
69594,0.044639266,lemma_euler5
69595,0.044642007,lemma_euler5
69596,0.044646601,lemma_euler5
69597,0.04465,lemma_euler5
69598,0.044654594,lemma_euler5
69599,0.044656424,lemma_euler5
69600,0.044662079,lemma_euler5
69601,0.044663908,lemma_euler5
69602,0.044668502,lemma_euler5
69603,0.044671901,lemma_euler5
69604,0.044676495,lemma_euler5
69605,0.044679234,lemma_euler5
69606,0.044684764,lemma_euler5
69607,0.044686593,lemma_euler5
69608,0.044691186,lemma_euler5
69609,0.044694585,lemma_euler5
69610,0.044699449,lemma_euler5
69611,0.044701279,lemma_euler5
69612,0.044706807,lemma_euler5
69613,0.044708637,lemma_euler5
69614,0.04471323,lemma_euler5
69615,0.044717207,lemma_euler5
69616,0.0447218,lemma_euler5
69617,0.044723629,lemma_euler5
69618,0.044729157,lemma_euler5
69619,0.044730987,lemma_euler5
69620,0.04473585,lemma_euler5
69621,0.044739248,lemma_euler5
69622,0.04474384,lemma_euler5
69623,0.044745669,lemma_euler5
69624,0.044751196,lemma_euler5
69625,0.044753935,lemma_euler5
69626,0.044758526,lemma_euler5
69627,0.044761924,lemma_euler5
69628,0.044766515,lemma_euler5
69629,0.044768344,lemma_euler5
69630,0.044773995,lemma_euler5
69631,0.044775825,lemma_euler5
69632,0.044780416,lemma_euler5
69633,0.044783813,lemma_euler5
69634,0.044788404,lemma_euler5
69635,0.044791142,lemma_euler5
69636,0.044796668,lemma_euler5
